121.132, 198.686, 6.772,  4.379 False
121.358, 198.687, 6.805,  4.412 False
121.586, 198.689, 6.842,  4.445 False
121.815, 198.690, 6.881,  4.478 False
122.045, 198.691, 6.924,  4.511 False
122.277, 198.692, 6.968,  4.544 False
122.510, 198.694, 7.015,  4.577 False
122.746, 198.695, 7.064,  4.610 False
122.982, 198.696, 7.114,  4.643 False
123.221, 198.697, 7.164,  4.676 False
123.461, 198.698, 7.214,  4.709 False
123.703, 198.699, 7.264,  4.742 False
123.946, 198.700, 7.314,  4.775 False
124.191, 198.701, 7.363,  4.808 False
124.438, 198.702, 7.411,  4.841 False
124.686, 198.702, 7.458,  4.874 False
124.936, 198.703, 7.505,  4.907 False
125.187, 198.704, 7.550,  4.940 False
125.440, 198.705, 7.594,  4.973 False
125.694, 198.705, 7.638,  5.006 False
125.950, 198.706, 7.681,  5.039 False
126.207, 198.707, 7.722,  5.072 False
126.465, 198.707, 7.764,  5.105 False
126.725, 198.708, 7.804,  5.138 False
126.986, 198.708, 7.844,  5.171 False
127.248, 198.708, 7.884,  5.204 False
127.512, 198.709, 7.924,  5.237 False
127.777, 198.709, 7.963,  5.270 False
128.044, 198.709, 8.002,  5.303 False
128.311, 198.709, 8.041,  5.336 False
128.580, 198.710, 8.080,  5.369 False
128.851, 198.710, 8.119,  5.402 False
129.122, 198.710, 8.158,  5.435 False
129.395, 198.710, 8.198,  5.468 False
129.669, 198.710, 8.242,  5.501 False
129.945, 198.710, 8.289,  5.534 False
130.223, 198.710, 8.339,  5.567 False
130.502, 198.710, 8.390,  5.600 False
130.783, 198.710, 8.443,  5.633 False
131.066, 198.710, 8.497,  5.666 False
131.351, 198.710, 8.552,  5.699 False
131.637, 198.710, 8.607,  5.732 False
131.926, 198.709, 8.662,  5.765 False
132.216, 198.709, 8.715,  5.798 False
132.508, 198.709, 8.769,  5.831 False
132.801, 198.709, 8.818,  5.864 False
133.096, 198.708, 8.846,  5.897 False
133.390, 198.708, 8.834,  5.930 False
133.683, 198.708, 8.782,  5.963 False
133.973, 198.707, 8.698,  5.996 False
134.259, 198.707, 8.587,  6.029 False
134.541, 198.707, 8.456,  6.062 False
134.818, 198.706, 8.306,  6.095 False
135.089, 198.706, 8.143,  6.128 False
135.355, 198.705, 7.967,  6.161 False
135.614, 198.704, 7.782,  6.194 False
135.868, 198.703, 7.589,  6.227 False
136.114, 198.702, 7.389,  6.260 False
136.354, 198.701, 7.185,  6.293 False
136.588, 198.700, 6.977,  6.326 False
136.814, 198.699, 6.767,  6.359 False
137.034, 198.697, 6.555,  6.392 False
137.246, 198.696, 6.343,  6.425 False
137.451, 198.695, 6.130,  6.458 False
137.650, 198.694, 5.919,  6.491 False
137.841, 198.693, 5.710,  6.524 False
138.026, 198.692, 5.503,  6.557 False
138.204, 198.691, 5.299,  6.590 False
138.375, 198.690, 5.098,  6.623 False
138.540, 198.690, 4.903,  6.656 False
138.699, 198.689, 4.711,  6.689 False
138.851, 198.688, 4.524,  6.722 False
138.997, 198.687, 4.342,  6.755 False
139.138, 198.687, 4.165,  6.788 False
139.272, 198.686, 3.994,  6.821 False
139.402, 198.685, 3.830,  6.854 False
139.526, 198.685, 3.676,  6.887 False
139.645, 198.684, 3.530,  6.920 False
139.759, 198.684, 3.392,  6.953 False
139.869, 198.683, 3.260,  6.986 False
139.975, 198.683, 3.135,  7.019 False
140.077, 198.683, 3.015,  7.052 False
140.175, 198.682, 2.901,  7.085 False
140.270, 198.682, 2.791,  7.118 False
140.361, 198.681, 2.687,  7.151 False
140.448, 198.681, 2.586,  7.184 False
140.532, 198.681, 2.490,  7.217 False
140.613, 198.680, 2.397,  7.250 False
140.691, 198.680, 2.308,  7.283 False
140.767, 198.680, 2.223,  7.316 False
140.838, 198.680, 2.109,  7.349 False
